"amazon_sports_shirts_images","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/45be6Fo","https://m.media-amazon.com/images/I/41z2kvpKklL._AC_SX679_.jpg","Pepe Jeans Camiseta para Hombre","Pepe Jeans",23.14,"frente"
"2","https://amzn.to/45cUnVH","https://m.media-amazon.com/images/I/51kAZWQ8lUL._AC_SX679_.jpg","Pepe Jeans Eggo Long N Camiseta para Hombre","Pepe Jeans",23.14,"frente"
"3","https://amzn.to/45kqqmT","https://m.media-amazon.com/images/I/516y7E3bLoL._AC_SY741_.jpg","Kappa Camiseta para hombre VEPPEL en paquete de 3 unidades","Kappa",27.95,"frente"
"4","https://amzn.to/45g5r4C","https://m.media-amazon.com/images/I/61oDuUk6BOL._AC_SX679_.jpg","PUMA ESS Logo tee Camiseta de Deporte Hombre (Pack de 1)","PUMA ESS","14.95","frente"
"5","https://amzn.to/3HfxjOf","https://m.media-amazon.com/images/I/61buaL+kk1L._AC_SX679_.jpg","Under Armour UA GL Foundation Update SS Camiseta Hombre (Pack de 1)","UNDER ARMOUR","19.99","frente"
"6","https://amzn.to/3UENE1X","https://m.media-amazon.com/images/I/61leufnk6AL._AC_SY741_.jpg","jeansian Hombre Sport Deportiva tee Shirt Tshirt T-Shirt Manga Corta Tenis Golf Bowling Camisetas LSL133","jeansian","23.99","frente"
"7","https://amzn.to/4l6hiIa","https://m.media-amazon.com/images/I/4167nieUXbL._AC_SX569_.jpg","SPRINGFIELD Camiseta Hombre","--","0.00","frente"
"8","https://amzn.to/4lYFVrN","https://m.media-amazon.com/images/I/71cT-YOkpgL._AC_SX679_.jpg","Under Armour Hombre Camiseta Sportstyle En El Pecho Izquierdo, Charcoal Medium Heather/Black","UNDER ARMOUR","21.95","frente"
"9","https://amzn.to/4bU4SP3","https://m.media-amazon.com/images/I/81Xg6CP-VCL._AC_SX679_.jpg","CAMBIAR","Subliminal Mode","29.90","mirar más de estos"
"10","https://amzn.to/3Wgiqik","https://m.media-amazon.com/images/I/612gtxmjwdL._AC_SX679_.jpg","CAMBIAR","UNDER ARMOUR","26.99","frente"
"11","https://amzn.to/3LDYUqS","https://m.media-amazon.com/images/I/511mO6JOLTL._AC_SX679_.jpg","CAMBIAR","UNDER ARMOUR","61.60","frente"
"12","https://amzn.to/3y7mGsl","https://m.media-amazon.com/images/I/91cWpELfuvL._AC_SX569_.jpg","CAMBIAR","Pepe Jeans","24.95","modelo_frente_izquierda"
"13","https://amzn.to/4c5u2KY","https://m.media-amazon.com/images/I/41N1kuoNz+L._AC_SX679_.jpg","CAMBIAR","Pepe Jeans","24.95","modelo_frente_izquierda"
